Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Santana do Garambéu (MG);-;-;...;-;-;-;-;-;33;-;-;16;16;4;...;...;-;-;...;...;-;57;40;-;...;-;-;-;-;-;...;...;...;-;32;-;-;...;...;...;-;5;1;-;-;-;-;-;71;-;...;-;-;-;319;-;...;-;-;-;-;-;-;-;1;-;-;...;-;...;-
Santana do Jacaré (MG);8;-;...;-;-;-;16;2;144;-;-;12;1;5;...;...;-;1185;...;...;-;14;-;-;...;3;-;-;-;-;...;...;...;-;155;-;89;...;...;...;-;175;-;-;-;-;-;-;150;6;...;-;-;-;240;-;...;-;-;-;-;-;-;-;-;6;-;...;-;...;-
Santana do Manhuaçu (MG);29;9;...;-;-;-;41;8;713;-;-;149;113;58;...;...;-;2674;...;...;-;172;-;-;...;3;-;-;-;-;...;...;...;5;1018;-;6;...;...;...;-;117;2;-;-;-;-;4;68;48;...;-;-;-;3683;-;...;-;-;-;-;-;-;-;29;10;-;...;-;...;-
Santana do Paraíso (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santana do Riacho (MG);-;36;...;-;-;5;35;11;49;-;-;711;-;-;...;...;-;-;...;...;-;96;-;-;...;48;-;-;-;-;...;...;...;-;67;-;-;...;...;...;-;93;-;-;-;-;-;-;180;12;...;-;-;-;253;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santana dos Montes (MG);16;-;...;-;-;-;4;1;97;-;-;25;15;35;...;...;-;12;...;...;-;36;-;-;...;-;-;-;-;-;...;...;...;-;250;-;-;...;...;...;-;63;-;-;-;-;-;-;133;19;...;-;-;-;330;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Rita de Caldas (MG);-;-;...;-;-;-;-;8;90;-;-;33;81;18448;...;...;-;1294;...;...;-;247;-;-;...;-;-;-;-;-;...;...;...;-;156;36;-;...;...;...;-;462;-;-;-;-;-;-;335;-;...;-;-;-;2731;-;...;32;679;-;-;-;-;-;-;65;-;...;-;...;900
Santa Rita de Jacutinga (MG);-;-;...;-;-;-;-;-;18;-;-;11;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;180;-;-;...;...;...;-;350;-;-;-;-;-;-;38;-;...;-;-;-;48;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santa Rita de Minas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Rita de Ibitipoca (MG);-;-;...;-;-;-;-;-;96;-;-;24;9;-;...;...;-;-;...;...;-;38;54;-;...;-;-;-;-;-;...;...;...;-;29;-;-;...;...;...;-;61;-;-;-;-;-;-;122;-;...;-;-;-;702;-;...;-;-;-;-;-;-;-;10;-;-;...;-;...;-
Santa Rita do Itueto (MG);34;-;...;-;-;-;225;56;2995;-;-;132;360;-;...;...;-;23435;...;...;-;40;-;-;...;-;-;-;-;15;...;...;...;-;40;-;-;...;...;...;-;475;4;-;-;-;-;-;539;117;...;-;12;-;5638;-;...;-;-;-;-;-;-;-;7;-;-;...;-;...;-
Santa Rita do Sapucaí (MG);-;-;...;-;-;-;24;6;360;-;-;16;84;213;...;...;-;8562;...;...;-;47;90;-;...;-;-;-;-;-;...;...;...;-;765;29;-;...;...;...;-;264;-;-;-;-;-;-;296;-;...;-;-;-;1980;-;...;-;-;-;-;-;12;-;68;180;-;...;-;...;24
Santa Rosa da Serra (MG);21;40;...;-;-;-;-;-;351;-;-;27;-;-;...;...;-;2421;...;...;-;76;-;-;...;-;-;-;-;-;...;...;...;-;242;-;-;...;...;...;-;114;4;-;-;-;5;-;1480;40;...;-;-;-;450;-;...;-;-;-;-;-;-;-;6;-;-;...;-;...;-
Santa Vitória (MG);-;8;...;-;-;296;-;134;9115;-;-;33;-;-;...;...;-;-;...;...;-;135;-;-;...;-;-;-;-;-;...;...;...;-;900;-;-;...;...;...;-;120;-;-;-;-;-;-;3337;-;...;-;-;-;7020;-;...;-;-;-;-;-;1972;111;66;-;-;...;-;...;-
Santo Antônio do Amparo (MG);4;-;...;-;-;-;-;-;154;-;-;44;-;-;...;...;-;7232;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;225;-;-;...;...;...;-;1036;-;-;-;-;-;-;175;-;...;-;-;-;1648;-;...;-;-;-;-;-;90;-;-;-;-;...;-;...;-
Santo Antônio do Aventureiro (MG);33;-;...;-;-;-;6;-;476;-;-;70;5;-;...;...;-;328;...;...;-;149;-;-;...;-;-;-;-;-;...;...;...;-;172;-;-;...;...;...;-;185;19;-;-;-;-;-;148;17;...;-;-;-;1186;-;...;-;11;-;-;-;-;-;23;-;-;...;-;...;-
Santo Antônio do Grama (MG);-;-;...;-;-;-;34;4;198;-;-;5;21;23;...;...;-;1001;...;...;-;3567;-;-;...;186;-;-;-;-;...;...;...;-;350;-;22;...;...;...;-;38;-;-;-;-;-;-;-;-;...;-;-;-;900;-;...;-;-;-;-;-;-;-;-;100;-;...;-;...;-
Santo Antônio do Itambé (MG);-;-;...;-;-;-;55;4;554;-;-;375;168;-;...;...;-;80;...;...;-;736;-;-;...;-;-;-;-;-;...;...;...;-;332;-;-;...;...;...;-;81;-;-;-;-;-;-;573;-;...;-;-;-;540;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santo Antônio do Jacinto (MG);3;-;...;-;-;-;-;-;30;-;-;22;31;-;...;...;-;23;...;...;-;192;-;-;...;-;-;-;-;10;...;...;...;-;2138;-;-;...;...;...;-;64;2;-;-;-;-;-;2886;7;...;-;15;-;123;-;...;-;-;-;-;-;-;-;7;-;-;...;-;...;-
Santo Antônio do Monte (MG);-;14;...;-;-;-;-;-;930;-;-;298;-;-;...;...;-;1487;...;...;-;192;-;-;...;-;-;-;-;-;...;...;...;-;810;-;-;...;...;...;-;348;-;-;-;-;-;-;1387;-;...;-;-;-;1650;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santo Antônio do Retiro (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santo Antônio do Rio Abaixo (MG);-;-;...;-;-;-;-;4;38;-;-;132;-;-;...;...;-;313;...;...;-;164;-;-;...;-;-;-;-;-;...;...;...;-;101;-;-;...;...;...;-;17;-;-;-;-;-;-;310;36;...;-;-;-;121;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santo Hipólito (MG);-;-;...;-;-;81;-;-;254;-;-;16;-;-;...;...;-;-;...;...;-;6400;-;-;...;-;-;-;-;-;...;...;...;-;119;-;-;...;...;...;-;196;8;-;-;-;-;-;222;250;...;-;4;-;780;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santos Dumont (MG);13;-;...;-;-;-;75;4;490;-;-;441;160;-;...;...;-;1127;...;...;-;165;225;-;...;3;-;-;-;-;...;...;...;-;839;-;-;...;...;...;-;1530;-;-;-;-;-;-;306;-;...;-;-;-;1422;-;...;-;-;-;-;-;-;-;7;300;-;...;-;...;-
São Bento Abade (MG);-;-;...;-;-;-;-;-;72;-;-;5;-;857;...;...;-;600;...;...;-;1;10;-;...;-;-;-;-;-;...;...;...;-;279;-;-;...;...;...;-;4;-;-;-;-;-;-;33;2;...;-;-;-;130;-;...;-;-;-;-;-;-;-;1;-;-;...;-;...;-
São Brás do Suaçuí (MG);61;7;...;-;-;-;11;2;148;-;-;44;-;82;...;...;-;64;...;...;-;26;-;-;...;2;-;-;-;-;...;...;...;-;132;-;971;...;...;...;-;276;5;-;-;-;-;1;148;15;...;-;-;-;500;-;...;-;-;-;-;-;-;-;36;-;-;...;-;...;-
São Domingos das Dores (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Domingos do Prata (MG);60;35;...;-;-;-;12;54;950;-;-;441;41;154;...;...;-;3120;...;...;-;3408;-;-;...;-;-;-;-;-;...;...;...;-;4070;-;-;...;...;...;-;1100;70;-;-;-;16;-;224;210;...;-;-;-;2025;-;...;-;-;-;-;-;-;-;465;-;-;...;-;...;-
São Félix de Minas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Francisco (MG);-;-;...;-;-;9632;84;11;8100;-;-;132;160;-;...;...;-;-;...;...;-;2876;-;-;...;24;-;-;-;3;...;...;...;720;6750;-;45;...;...;...;-;50;10;-;-;-;-;2578;72179;15;...;-;1000;-;6240;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Francisco de Paula (MG);24;3;...;-;-;-;12;3;607;-;-;16;15;19;...;...;-;2600;...;...;-;210;108;-;...;12;-;-;-;-;...;...;...;-;134;-;-;...;...;...;-;296;5;-;-;-;-;-;2220;21;...;2;-;-;1663;-;...;-;10;-;-;-;-;-;38;-;-;...;-;...;-
São Francisco de Sales (MG);-;-;...;-;-;2960;-;-;13475;-;-;40;-;-;...;...;-;-;...;...;-;48;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;41;-;-;-;-;-;-;1110;-;...;-;-;-;720;-;...;-;-;-;-;-;55;-;-;-;-;...;-;...;-
São Francisco do Glória (MG);0;3;...;-;-;-;110;14;592;-;-;66;103;36;...;...;-;856;...;...;-;386;1;-;...;105;-;-;-;-;...;...;...;-;486;-;-;...;...;...;-;480;-;-;-;-;-;-;227;14;...;-;-;-;1176;-;...;-;-;-;-;-;-;-;6;40;-;...;-;...;-
São Geraldo (MG);12;-;...;-;-;-;12;-;1224;-;-;22;0;-;...;...;-;829;...;...;-;2398;-;-;...;5;-;-;-;-;...;...;...;-;688;-;52;...;...;...;-;120;4;-;-;-;-;-;3;21;...;-;-;-;932;-;...;-;-;-;-;-;-;-;12;156;-;...;-;...;-
São Geraldo da Piedade (MG);-;-;...;-;-;-;-;-;242;-;-;33;22;-;...;...;-;912;...;...;-;229;-;-;...;-;-;-;-;-;...;...;...;-;561;-;-;...;...;...;-;42;-;-;-;-;-;-;88;-;...;-;-;-;385;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Geraldo do Baixio (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Gonçalo do Abaeté (MG);6;17;...;-;-;10;-;5;1944;-;-;88;21;-;...;...;-;26;...;...;-;25;70;-;...;-;-;-;-;-;...;...;...;-;4477;1;-;...;...;...;-;272;1;-;-;-;-;-;444;17;...;2;-;-;2448;-;...;-;-;-;-;-;292;-;12;-;-;...;-;...;-
São Gonçalo do Pará (MG);-;12;...;-;-;-;-;-;233;-;-;42;-;11;...;...;-;4;...;...;-;126;-;-;...;-;-;-;-;-;...;...;...;-;273;-;100;...;...;...;-;224;12;-;-;-;-;-;771;9;...;-;-;-;557;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Gonçalo do Rio Abaixo (MG);33;42;...;-;-;-;18;12;306;-;-;93;35;20;...;...;-;375;...;...;-;158;-;-;...;-;-;-;-;-;...;...;...;1;767;-;-;...;...;...;-;61;4;-;-;-;-;-;255;28;...;-;1;-;478;-;...;-;-;-;-;-;-;-;15;-;-;...;-;...;-
São Gonçalo do Sapucaí (MG);121;-;...;-;-;-;48;-;1794;-;-;82;100;1113;...;...;-;3434;...;...;-;112;14;-;...;45;-;-;-;-;...;...;...;-;2698;-;-;...;...;...;-;504;9;-;-;-;-;-;306;-;...;-;16;-;871;-;...;-;-;-;-;-;-;-;225;205;-;...;-;...;39
São Gotardo (MG);21;20;...;-;-;-;24;36;1716;-;-;55;96;31;...;...;-;2592;...;...;-;600;-;-;...;1;-;-;-;-;...;...;...;-;9586;1;50;...;...;...;-;191;8;-;-;-;9;-;2960;48;...;3;-;-;12300;-;...;-;9;-;-;-;-;-;52;18;-;...;-;...;-
São João Batista do Glória (MG);4;20;...;-;-;-;-;6;1178;-;-;44;-;-;...;...;-;80;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;657;-;-;...;...;...;-;34;-;-;-;-;-;-;102;4;...;-;-;-;1387;-;...;-;-;-;-;-;178;-;3;-;-;...;-;...;-
São João da Lagoa (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João da Mata (MG);-;-;...;-;-;-;-;7;448;-;-;88;4;10;...;...;-;698;...;...;-;20;14;-;...;-;-;-;-;-;...;...;...;-;298;-;170;...;...;...;-;34;-;-;-;-;-;-;48;-;...;-;-;-;588;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São João da Ponte (MG);-;6;...;-;-;1421;108;8;1080;-;-;110;15;-;...;...;-;-;...;...;-;1198;-;-;...;16;-;-;-;-;...;...;...;288;3640;-;-;...;...;...;-;-;-;-;-;-;-;242;4225;-;...;-;84;-;1560;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São João das Missões (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João del Rei (MG);20;24;...;-;-;-;55;6;1221;-;-;138;35;91;...;...;-;35;...;...;-;48;108;4;...;60;-;-;-;-;...;...;...;4;1417;6;-;...;...;...;-;505;5;-;4;-;18;-;943;69;...;4;1;-;1282;-;...;17;11;-;-;-;27;-;18;312;-;...;-;...;3
São João do Manhuaçu (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João do Manteninha (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João do Oriente (MG);3;8;...;-;-;-;6;3;4375;-;-;16;162;-;...;...;-;-;...;...;-;46;-;-;...;-;-;-;-;-;...;...;...;-;432;-;6;...;...;...;-;408;-;-;-;-;-;-;22;-;...;-;-;-;855;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São João do Pacuí (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João do Paraíso (MG);-;21;...;-;-;-;26;12;811;-;-;287;18;25;...;...;-;2615;...;...;-;1950;-;-;...;25;-;-;-;-;...;...;...;558;2205;-;1155;...;...;...;-;108;-;-;-;-;-;13;23102;612;...;6150;20;-;420;-;...;-;-;-;-;-;-;-;210;-;-;...;-;...;-
São João Evangelista (MG);-;-;...;-;-;-;182;26;330;-;-;441;37;-;...;...;-;1457;...;...;-;341;-;-;...;-;-;-;-;-;...;...;...;-;6826;-;-;...;...;...;-;153;3;-;-;-;-;6;194;18;...;-;1;-;1998;-;...;-;-;-;-;-;-;-;31;-;-;...;-;...;-
São João Nepomuceno (MG);11;-;...;-;-;-;4;-;1572;-;-;176;780;-;...;...;-;261;...;...;-;288;-;-;...;-;-;-;-;-;...;...;...;-;497;-;14;...;...;...;-;803;-;-;-;-;-;-;1184;-;...;-;-;-;452;-;...;-;-;-;-;-;7;-;-;25;-;...;-;...;-
São Joaquim de Bicas (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São José da Barra (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São José da Lapa (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São José da Safira (MG);-;8;...;-;-;-;-;15;219;-;-;22;3;-;...;...;-;359;...;...;-;238;-;-;...;-;-;-;-;-;...;...;...;6;542;-;-;...;...;...;-;71;-;-;-;-;-;-;26;-;...;-;-;-;283;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São José da Varginha (MG);10;14;...;-;-;-;-;17;387;-;-;44;7;10;...;...;-;35;...;...;-;144;-;-;...;-;-;-;-;-;...;...;...;-;58;-;10;...;...;...;-;691;-;-;-;-;-;-;1443;35;...;-;-;-;706;-;...;-;-;-;-;-;-;-;15;1065;-;...;-;...;-
São José do Alegre (MG);-;-;...;-;-;-;54;18;1320;-;-;66;24;1399;...;...;-;1125;...;...;-;630;-;-;...;90;-;-;-;-;...;...;...;-;530;-;139;...;...;...;-;291;-;-;-;-;-;-;37;-;...;-;-;-;1080;-;...;-;-;-;-;-;-;-;38;1125;-;...;-;...;-
São José do Divino (MG);-;-;...;-;-;-;-;34;492;-;-;33;15;49;...;...;-;-;...;...;-;66;41;-;...;-;-;-;-;-;...;...;...;-;1638;-;-;...;...;...;-;95;-;-;-;-;-;-;299;62;...;-;12;-;743;-;...;-;-;-;-;-;-;-;38;-;-;...;-;...;-
São José do Goiabal (MG);12;40;...;-;-;-;-;-;1100;-;-;132;-;61;...;...;-;-;...;...;-;340;-;-;...;-;-;-;-;-;...;...;...;-;6323;-;-;...;...;...;-;518;6;-;-;-;-;-;59;48;...;-;-;-;1125;-;...;-;-;-;-;-;-;-;136;-;-;...;-;...;-
São José do Jacuri (MG);-;-;...;-;-;-;140;8;204;-;-;314;-;-;...;...;-;420;...;...;-;253;-;-;...;-;-;-;-;-;...;...;...;-;3843;-;-;...;...;...;-;20;-;-;-;-;-;-;99;-;...;-;-;-;1687;-;...;-;-;-;-;-;-;-;34;-;-;...;-;...;-
São José do Mantimento (MG);7;3;...;-;-;-;42;7;110;-;-;143;79;11;...;...;-;4203;...;...;-;85;-;-;...;5;-;-;-;-;...;...;...;-;320;-;-;...;...;...;-;122;7;-;-;-;-;-;243;13;...;-;-;-;1032;-;...;-;-;-;-;-;-;-;15;-;-;...;-;...;-
São Lourenço (MG);21;-;...;-;-;-;6;-;1;-;-;60;0;-;...;...;-;92;...;...;-;-;0;3;...;3;-;-;-;-;...;...;...;-;20;-;-;...;...;...;-;218;3;-;-;-;-;-;5;3;...;-;-;-;32;-;...;3;-;-;-;-;-;-;3;-;-;...;-;...;63
São Miguel do Anta (MG);3;-;...;-;-;-;12;-;9;-;-;22;2;318;...;...;-;849;...;...;-;19;-;-;...;4;-;-;-;-;...;...;...;-;1397;-;-;...;...;...;-;168;-;-;-;-;-;-;30;-;...;-;-;-;660;-;...;-;-;-;-;-;-;-;7;12;-;...;-;...;-
São Pedro da União (MG);-;-;...;-;-;-;-;-;648;-;-;22;-;-;...;...;-;11484;...;...;-;96;48;-;...;-;-;-;-;-;...;...;...;-;1067;-;-;...;...;...;-;360;-;-;-;-;-;-;-;-;...;-;-;-;2160;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Pedro dos Ferros (MG);4;35;...;-;-;-;52;24;5085;-;-;49;6;-;...;...;-;1378;...;...;-;27;-;-;...;22;-;-;-;1;...;...;...;-;4787;1;20;...;...;...;-;114;2;-;-;-;-;-;55;12;...;-;-;-;9800;-;...;-;-;-;-;-;-;-;15;42;-;...;-;...;8
São Pedro do Suaçuí (MG);-;32;...;-;-;-;-;-;171;-;-;292;42;-;...;...;-;522;...;...;-;17;-;-;...;-;-;-;-;-;...;...;...;-;1999;-;-;...;...;...;-;42;-;-;-;-;-;-;199;-;...;-;-;-;2600;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Romão (MG);-;-;...;-;-;-;-;8;775;-;-;33;7;-;...;...;-;-;...;...;-;67;-;-;...;-;-;-;-;-;...;...;...;8;527;-;-;...;...;...;-;40;10;-;-;-;5;-;352;18;...;-;4;-;336;-;...;-;-;-;-;-;-;-;3;-;-;...;-;...;-
São Roque de Minas (MG);4;9;...;-;-;-;12;2;489;-;-;66;4;-;...;...;-;-;...;...;-;64;-;-;...;-;-;-;-;-;...;...;...;-;292;-;-;...;...;...;-;108;4;-;-;-;-;-;222;32;...;-;1;-;1170;-;...;-;-;-;-;-;-;-;14;7;-;...;-;...;-
São Sebastião da Bela Vista (MG);-;-;...;-;-;-;-;-;540;-;-;5;36;42;...;...;-;3125;...;...;-;21;12;-;...;-;-;-;-;-;...;...;...;-;270;-;-;...;...;...;-;291;8;-;-;-;-;-;118;-;...;-;-;-;1116;-;...;-;-;-;-;-;-;-;38;-;-;...;-;...;-
São Sebastião da Vargem Alegre (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Sebastião do Anta (MG);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Sebastião do Maranhão (MG);-;-;...;-;-;-;-;-;-;-;-;535;20;-;...;...;-;652;...;...;-;210;-;-;...;-;-;-;-;-;...;...;...;-;1702;-;-;...;...;...;-;76;-;-;-;-;-;-;212;-;...;-;-;-;2347;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Sebastião do Oeste (MG);-;-;...;-;-;-;-;-;420;-;-;50;5;-;...;...;-;280;...;...;-;31;220;-;...;-;-;-;-;-;...;...;...;-;98;-;-;...;...;...;-;214;-;-;-;-;-;-;777;-;...;-;-;-;227;-;...;-;-;-;-;-;-;-;-;10;-;...;-;...;-
São Sebastião do Paraíso (MG);612;3;...;-;-;-;-;3;5076;-;-;309;4;28;...;...;-;45500;...;...;-;333;666;-;...;67;-;-;-;-;...;...;...;-;4877;-;-;...;...;...;-;648;-;-;-;-;-;-;122;9;...;-;-;-;4107;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;125
São Sebastião do Rio Preto (MG);-;-;...;-;-;-;28;20;51;-;-;231;30;-;...;...;-;198;...;...;-;383;-;-;...;-;-;-;-;-;...;...;...;4;470;4;-;...;...;...;-;443;8;-;-;-;-;-;616;5;...;-;16;-;371;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Sebastião do Rio Verde (MG);2;-;...;-;-;-;7;-;109;-;-;5;2;41;...;...;-;-;...;...;-;-;45;-;...;3;-;-;-;-;...;...;...;-;85;-;-;...;...;...;-;85;-;-;-;-;-;-;11;2;...;-;-;-;46;-;...;-;-;-;-;-;-;-;3;-;-;...;-;...;-
São Tiago (MG);3;5;...;-;-;-;32;7;856;-;-;99;24;209;...;...;-;480;...;...;-;43;108;2;...;2;-;-;-;-;...;...;...;-;2835;26;43;...;...;...;-;244;6;-;-;-;18;-;1998;9;...;2;1;-;703;-;...;3;3;-;-;-;13;-;9;936;-;...;-;...;3
São Tomás de Aquino (MG);293;-;...;-;-;-;-;1;2199;-;-;33;-;36;...;...;-;12825;...;...;-;35;99;-;...;-;-;-;-;-;...;...;...;-;357;-;-;...;...;...;-;138;-;-;-;-;-;-;51;-;...;-;-;-;4107;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Tomé das Letras (MG);-;25;...;-;-;-;-;-;316;-;-;66;45;103;...;...;-;409;...;...;-;62;-;-;...;16;-;-;-;-;...;...;...;-;221;26;-;...;...;...;-;544;8;-;-;-;-;2;127;7;...;34;7;-;672;-;...;-;-;-;-;-;-;-;18;-;-;...;-;...;-
São Vicente de Minas (MG);6;5;...;-;-;-;-;-;128;-;-;8;26;9;...;...;-;130;...;...;-;120;720;-;...;-;-;-;-;-;...;...;...;-;61;-;-;...;...;...;-;102;-;-;-;-;-;-;210;3;...;-;-;-;460;-;...;4;1;-;-;-;-;-;1;-;-;...;-;...;-
Sapucaí-Mirim (MG);-;-;...;-;-;-;17;-;151;-;-;11;4;556;...;...;-;83;...;...;-;43;19;-;...;-;-;-;-;-;...;...;...;-;178;-;14;...;...;...;-;172;-;-;-;-;-;-;110;-;...;-;-;-;852;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Sardoá (MG);-;-;...;-;-;-;-;8;92;-;-;596;49;-;...;...;-;668;...;...;-;114;-;-;...;-;-;-;-;-;...;...;...;-;74;-;-;...;...;...;-;8;-;-;-;-;-;-;166;-;...;-;-;-;468;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
